1	58	768	525	871	963	4	211	673	593	135	
2	452	890	407	951	334	476	320	312	783	240	
3	640	875	864	516	710	468	109	787	165	552	
4	316	341	789	611	699	532	375	94	564	550	
5	609	105	88	131	343	109	543	560	980	409	
6	690	310	353	450	123	47	275	460	809	952	
7	42	151	695	940	36	565	510	420	47	70	
8	242	558	61	174	86	809	298	154	765	764	
9	561	577	320	51	542	65	328	670	737	798	
10	846	755	990	365	759	632	632	103	2	935	
11	491	291	93	267	215	438	678	480	148	291	
12	190	514	176	477	513	766	57	452	371	798	
13	374	725	439	338	148	986	433	805	841	189	
14	863	760	315	297	967	395	291	394	388	52	
15	575	6	622	876	992	753	831	928	520	53	
16	83	738	279	776	635	653	839	544	502	242	
17	18	684	584	177	847	262	706	265	156	969	
18	752	385	602	328	474	727	716	343	490	398	
19	522	887	265	75	670	942	177	434	811	768	
20	982	730	383	815	876	495	723	286	512	861	
21	301	529	484	870	955	684	126	478	310	117	
22	387	500	121	333	53	11	871	152	371	722	
23	966	64	420	768	713	22	107	65	307	375	
24	918	491	233	129	465	447	859	244	888	924	
25	96	300	765	710	722	593	301	323	645	76	
26	479	71	447	876	783	157	313	643	75	134	
27	85	539	662	760	867	374	952	292	335	358	
28	994	371	897	874	511	15	357	668	627	95	
29	885	108	392	627	795	306	759	873	244	426	
30	744	352	189	564	866	667	303	811	903	758	
31	238	602	499	971	485	691	904	537	417	779	
32	895	682	44	218	624	464	213	46	891	86	
33	692	599	146	133	252	374	716	977	143	209	
34	732	410	419	179	507	105	784	594	518	265	
35	733	266	991	917	473	348	106	934	677	587	
36	331	525	740	558	436	389	971	830	227	15	
37	28	918	220	324	407	145	340	347	68	69	
38	917	111	414	857	291	160	521	358	884	668	
39	802	130	465	388	19	848	722	170	247	448	
40	539	646	608	378	844	126	940	696	55	801	
41	152	981	789	374	241	262	663	426	517	321	
42	796	82	479	500	545	753	337	334	765	735	
43	662	154	341	873	938	626	867	661	924	487	
44	627	165	280	467	570	14	345	608	976	130	
45	305	45	508	678	78	518	802	231	68	25	
46	730	621	200	963	890	755	870	186	48	320	
47	72	783	699	212	390	22	935	592	893	148	
48	315	566	550	394	165	474	956	949	124	366	
49	330	959	689	638	146	886	117	402	771	796	
50	582	623	641	529	959	663	617	391	157	796	
51	436	57	608	106	254	273	67	947	350	50	
52	661	507	312	657	383	217	647	319	97	224	
53	148	942	161	666	353	958	943	910	156	704	
54	970	206	406	280	90	91	906	292	142	191	
55	23	5	259	58	898	530	302	354	693	681	
56	136	640	492	710	592	429	665	106	194	769	
57	217	903	831	978	827	392	925	256	294	54	
58	562	807	399	849	980	455	1	273	538	229	
59	799	76	107	227	75	645	765	228	434	520	
60	288	914	360	642	157	331	210	328	618	852	
61	338	366	58	23	915	209	406	491	811	390	
62	147	628	32	743	695	839	639	627	882	188	
63	627	701	50	361	808	875	912	975	435	773	
64	385	194	769	755	94	129	802	368	347	479	
65	744	205	999	326	254	834	554	667	876	906	
66	268	8	973	426	604	781	334	882	929	561	
67	694	574	253	961	508	415	954	577	223	193	
68	365	573	859	3	976	634	527	567	162	25	
69	369	911	399	425	464	844	517	471	92	122	
70	20	218	136	809	342	556	277	702	636	377	
71	957	185	331	833	322	894	115	416	247	201	
72	48	275	855	593	863	404	297	452	992	394	
73	1000	390	847	931	299	471	169	642	461	529	
74	452	358	114	335	878	744	101	264	206	512	
75	56	177	814	504	613	257	86	62	431	441	
76	205	44	746	493	597	590	800	707	551	226	
77	643	427	198	226	283	136	969	385	193	463	
78	807	51	564	662	842	275	849	540	284	599	
79	101	977	558	63	544	884	247	701	754	788	
80	855	663	396	110	397	608	606	924	485	664	
81	255	523	793	147	958	342	302	647	476	353	
82	965	281	590	247	192	568	338	776	802	330	
83	67	477	680	288	848	243	489	813	214	324	
84	137	94	225	584	415	302	566	451	385	568	
85	791	513	64	29	107	231	324	170	804	301	
86	443	945	358	327	224	542	836	792	419	292	
87	943	186	435	279	80	611	687	298	989	462	
88	502	540	357	683	788	581	371	910	570	788	
89	102	637	943	938	902	390	910	691	899	897	
90	710	951	489	250	231	592	337	268	338	738	
91	214	223	760	1	266	512	322	580	144	831	
92	76	647	747	883	147	374	211	746	34	288	
93	796	87	216	854	276	815	350	700	958	240	
94	113	819	526	304	939	474	316	516	785	237	
95	770	584	721	407	839	949	579	627	449	531	
96	176	973	582	817	808	318	586	46	957	330	
97	572	264	913	228	866	423	770	673	833	286	
98	668	380	468	317	778	263	600	545	387	90	
