5 	[6.0, 5.0, 17.0]
7 	[8.0, 12.0, 28.0]
4 	[9.0, 4.0, 6.0]
4 	[6.0, 10.0, 11.0]
3 	[1.0, 11.0, 20.0]
1 	[2.0, 5.0, 26.0]
4 	[9.0, 2.0, 11.0]
3 	[2.0, 15.0, 15.0]
3 	[3.0, 11.0, 22.0]
4 	[7.0, 6.0, 10.0]
7 	[6.0, 11.0, 16.0]
1 	[1.0, 6.0, 16.0]
1 	[3.0, 7.0, 29.0]
7 	[6.0, 15.0, 19.0]
4 	[7.0, 10.0, 14.0]
2 	[4.0, 13.0, 4.0]
0 	[4.0, 10.0, 2.0]
0 	[3.0, 6.0, 12.0]
2 	[3.0, 14.0, 14.0]
4 	[8.0, 6.0, 5.0]
7 	[8.0, 19.0, 28.0]
3 	[5.0, 15.0, 19.0]
1 	[4.0, 4.0, 28.0]
4 	[9.0, 4.0, 10.0]
3 	[4.0, 14.0, 16.0]
5 	[7.0, 2.0, 19.0]
0 	[1.0, 4.0, 1.0]
3 	[1.0, 13.0, 21.0]
0 	[3.0, 9.0, 4.0]
2 	[3.0, 17.0, 10.0]
4 	[7.0, 10.0, 4.0]
0 	[4.0, 5.0, 10.0]
4 	[8.0, 2.0, 4.0]
0 	[1.0, 1.0, 3.0]
7 	[7.0, 11.0, 16.0]
6 	[7.0, 13.0, 13.0]
7 	[9.0, 18.0, 26.0]
0 	[5.0, 3.0, 1.0]
2 	[5.0, 19.0, 2.0]
7 	[6.0, 12.0, 22.0]
0 	[5.0, 2.0, 3.0]
0 	[3.0, 1.0, 14.0]
3 	[1.0, 17.0, 16.0]
1 	[1.0, 9.0, 29.0]
4 	[7.0, 6.0, 13.0]
1 	[5.0, 6.0, 25.0]
4 	[9.0, 9.0, 3.0]
1 	[5.0, 3.0, 25.0]
0 	[3.0, 1.0, 7.0]
4 	[7.0, 3.0, 9.0]
4 	[9.0, 2.0, 2.0]
1 	[4.0, 1.0, 18.0]
1 	[3.0, 2.0, 20.0]
3 	[4.0, 11.0, 26.0]
3 	[1.0, 14.0, 15.0]
0 	[5.0, 9.0, 1.0]
4 	[7.0, 6.0, 8.0]
5 	[6.0, 6.0, 15.0]
0 	[3.0, 8.0, 7.0]
2 	[2.0, 14.0, 4.0]
6 	[9.0, 17.0, 4.0]
7 	[8.0, 15.0, 21.0]
1 	[2.0, 7.0, 17.0]
3 	[2.0, 18.0, 15.0]
4 	[8.0, 1.0, 12.0]
6 	[8.0, 18.0, 6.0]
0 	[5.0, 1.0, 3.0]
0 	[5.0, 3.0, 8.0]
2 	[4.0, 13.0, 6.0]
0 	[4.0, 10.0, 2.0]
2 	[3.0, 11.0, 1.0]
7 	[6.0, 18.0, 17.0]
7 	[9.0, 13.0, 17.0]
7 	[8.0, 14.0, 16.0]
3 	[5.0, 19.0, 25.0]
1 	[5.0, 6.0, 18.0]
5 	[9.0, 5.0, 16.0]
3 	[1.0, 14.0, 22.0]
6 	[6.0, 11.0, 12.0]
4 	[7.0, 6.0, 12.0]
6 	[8.0, 17.0, 13.0]
5 	[7.0, 10.0, 23.0]
3 	[4.0, 15.0, 26.0]
3 	[5.0, 11.0, 17.0]
3 	[4.0, 12.0, 18.0]
0 	[5.0, 4.0, 8.0]
3 	[5.0, 16.0, 18.0]
7 	[7.0, 17.0, 26.0]
4 	[6.0, 3.0, 10.0]
1 	[4.0, 3.0, 29.0]
4 	[6.0, 3.0, 13.0]
4 	[7.0, 10.0, 2.0]
5 	[7.0, 3.0, 15.0]
4 	[7.0, 3.0, 7.0]
3 	[3.0, 17.0, 25.0]
2 	[2.0, 15.0, 10.0]
2 	[2.0, 17.0, 5.0]
1 	[4.0, 1.0, 17.0]
2 	[2.0, 18.0, 7.0]
3 	[3.0, 17.0, 21.0]
